#code	resl	year	logKa	Ka	target
3uuo    2.11     2012    7.96     Ki=11nM      1
4x6p    1.93     2015    8.30     Ki=5nM       4
3pyy    1.85     2011    6.86     Kd=137nM     7
4wiv    1.56     2014    6.26     Kd=550nM    10
2wca    2.30     2009    5.60     Ki=2.5uM    13
1h23    2.15     2002    8.35     Ki=4.5nM    16
4djv    1.73     2012    6.72     Ki=0.19uM   19
4f9w    2.00     2013    6.94     Ki=114nM    22
2qbr    2.30     2008    6.33     Ki=0.47uM   25
2xnb    1.85     2010    6.83     Ki=149nM    29
3jvr    1.76     2009    5.72     Ki=1.89uM   32
3e5a    2.30     2008    8.23     Ki=5.9nM    36
3b5r    1.80     2008    8.77     Ki=1.7nM    40
1qkt    2.20     2000    9.04     Kd=0.92nM   44
3gy4    1.55     2010    5.10     Kd=8uM      47
2xys    1.91     2011    7.42     Ki=38nM     50
3n86    1.90     2011    5.64     Ki=2.3uM    53
3uev    1.90     2011    5.89     Kd=1.29uM   55
3tsk    2.00     2012    7.17     Kd=67nM     56
1w4o    1.60     2005    5.22     Ki=6uM      57
