relation,display_relation,x_type,x_name,y_type,y_name
disease_protein,associated with,gene/protein,TP53,disease,adrenal cortex carcinoma
disease_protein,associated with,disease,spindle cell sarcoma,gene/protein,TP53
disease_protein,associated with,gene/protein,TP53,disease,head and neck cancer
disease_protein,associated with,gene/protein,TP53,disease,skin carcinoma
disease_protein,associated with,gene/protein,ABCB1,disease,kidney cancer
disease_protein,associated with,disease,anxiety disorder,gene/protein,ALB
disease_protein,associated with,disease,non-alcoholic steatohepatitis,gene/protein,TF
disease_protein,associated with,disease,monogenic obesity,gene/protein,TF
disease_protein,associated with,disease,malignant mesothelioma (disease),gene/protein,TF
disease_protein,associated with,gene/protein,ALB,disease,dysthymic disorder
disease_protein,associated with,disease,stroke disorder,gene/protein,ALB
disease_protein,associated with,disease,prostate cancer,gene/protein,TP53
disease_protein,associated with,gene/protein,TP53,disease,therapy related acute myeloid leukemia and myelodysplastic syndrome
disease_protein,associated with,gene/protein,TP53,disease,prostate cancer
disease_protein,associated with,gene/protein,ALB,disease,uveitis
disease_protein,associated with,gene/protein,ABCB1,disease,hepatocellular carcinoma
disease_protein,associated with,gene/protein,TP53,disease,giant cell glioblastoma
disease_protein,associated with,disease,thymic carcinoma,gene/protein,TP53
disease_protein,associated with,gene/protein,TP53,disease,intrahepatic cholangiocarcinoma
disease_protein,associated with,gene/protein,ABCB1,disease,breast cancer
disease_protein,associated with,disease,chromosome 17p deletion,gene/protein,TP53
disease_protein,associated with,gene/protein,TP53,disease,sarcomatoid carcinoma
disease_protein,associated with,disease,granulomatous slack skin disease,gene/protein,TP53
disease_protein,associated with,disease,carcinoma,gene/protein,TF
disease_protein,associated with,gene/protein,CYP3A4,disease,squamous cell carcinoma of the corpus uteri
disease_protein,associated with,gene/protein,CYP3A4,disease,hereditary breast carcinoma
disease_protein,associated with,gene/protein,ALB,disease,aseptic meningitis
disease_protein,associated with,disease,kidney cancer,gene/protein,TP53
disease_protein,associated with,disease,benign breast phyllodes tumor,gene/protein,TP53
disease_protein,associated with,disease,ovarian endometrioid adenocarcinoma,gene/protein,TP53
drug_protein,carrier,gene/protein,ALB,drug,Chlorpromazine
drug_protein,carrier,drug,Naloxone,gene/protein,ALB
drug_protein,carrier,gene/protein,ALB,drug,Miconazole
drug_protein,carrier,gene/protein,ALB,drug,Ibrutinib
drug_protein,carrier,drug,Betamethasone,gene/protein,ALB
drug_protein,carrier,drug,Sulfamethazine,gene/protein,ALB
drug_protein,carrier,gene/protein,ALB,drug,Omadacycline
drug_protein,carrier,drug,Cefalotin,gene/protein,ALB
drug_protein,carrier,gene/protein,ALB,drug,Rosiglitazone
drug_protein,carrier,drug,Benzatropine,gene/protein,ALB
drug_protein,carrier,drug,Delafloxacin,gene/protein,ALB
drug_protein,carrier,drug,Captopril,gene/protein,ALB
drug_protein,carrier,gene/protein,ALB,drug,Cefiderocol
drug_protein,carrier,drug,Revefenacin,gene/protein,ALB
drug_protein,carrier,gene/protein,ALB,drug,Meclizine
drug_protein,carrier,drug,Clomipramine,gene/protein,ALB
drug_protein,carrier,gene/protein,ALB,drug,Revefenacin
drug_protein,carrier,drug,Stearic acid,gene/protein,ALB
drug_protein,carrier,gene/protein,ALB,drug,Cisplatin
drug_protein,carrier,gene/protein,ALB,drug,Hydroflumethiazide
drug_protein,carrier,drug,Acetrizoic acid,gene/protein,ALB
drug_protein,carrier,drug,Verapamil,gene/protein,ALB
drug_protein,carrier,drug,Imipramine,gene/protein,ALB
drug_protein,carrier,drug,Calcium phosphate dihydrate,gene/protein,ALB
drug_protein,carrier,drug,Cloxacillin,gene/protein,ALB
drug_protein,carrier,drug,Triheptanoin,gene/protein,ALB
drug_protein,carrier,gene/protein,ALB,drug,Nifedipine
drug_protein,carrier,drug,Levamlodipine,gene/protein,ALB
drug_protein,carrier,drug,Betamethasone phosphate,gene/protein,ALB
drug_protein,carrier,drug,Mangafodipir,gene/protein,ALB
contraindication,contraindication,disease,congenital hypothyroidism,drug,Morphine
contraindication,contraindication,drug,Nicotine,disease,acute coronary syndrome
contraindication,contraindication,disease,type 1 diabetes mellitus,drug,Nicotine
contraindication,contraindication,disease,gallbladder disease,drug,Nicotine
contraindication,contraindication,disease,nephrolithiasis,drug,Vitamin A
contraindication,contraindication,disease,nephrocalcinosis,drug,Vitamin A
contraindication,contraindication,drug,Morphine,disease,esophagitis (disease)
contraindication,contraindication,drug,Vitamin A,disease,hereditary hemochromatosis
contraindication,contraindication,disease,temporomandibular joint disorder,drug,Nicotine
contraindication,contraindication,disease,gastroesophageal reflux disease,drug,Morphine
contraindication,contraindication,disease,long QT syndrome,drug,Morphine
contraindication,contraindication,drug,Morphine,disease,substance abuse/dependence
contraindication,contraindication,drug,Nicotine,disease,temporomandibular joint disorder
contraindication,contraindication,disease,drug psychosis,drug,Morphine
contraindication,contraindication,disease,familial glucocorticoid deficiency,drug,Morphine
contraindication,contraindication,drug,Nicotine,disease,substance abuse/dependence
contraindication,contraindication,disease,gastroesophageal reflux disease,drug,Nicotine
contraindication,contraindication,drug,Nicotine,disease,hypophosphatemia (disease)
contraindication,contraindication,drug,Ciprofloxacin,disease,peripheral nervous system disease
contraindication,contraindication,drug,Morphine,disease,pyloric stenosis (disease)
contraindication,contraindication,drug,Morphine,disease,familial long QT syndrome
contraindication,contraindication,drug,Morphine,disease,urethral stricture (disease)
contraindication,contraindication,drug,Vitamin A,disease,liver disease
contraindication,contraindication,drug,Nicotine,disease,pharyngitis
contraindication,contraindication,drug,Ciprofloxacin,disease,perinatal necrotizing enterocolitis
contraindication,contraindication,drug,Morphine,disease,myasthenia gravis
contraindication,contraindication,drug,Vitamin A,disease,hypercalcemia disease
contraindication,contraindication,disease,hypertensive disorder,drug,Morphine
contraindication,contraindication,disease,Wernicke-Korsakoff syndrome,drug,Morphine
contraindication,contraindication,drug,Ciprofloxacin,disease,potassium deficiency disease
drug_protein,enzyme,drug,Fulvestrant,gene/protein,CYP3A4
drug_protein,enzyme,gene/protein,CYP3A4,drug,Fentanyl
drug_protein,enzyme,drug,Econazole,gene/protein,CYP3A4
drug_protein,enzyme,drug,Etoricoxib,gene/protein,CYP3A4
drug_protein,enzyme,gene/protein,CYP3A4,drug,Dronedarone
drug_protein,enzyme,gene/protein,CYP3A4,drug,Cabozantinib
drug_protein,enzyme,drug,Lorcaserin,gene/protein,CYP3A4
drug_protein,enzyme,gene/protein,CYP3A4,drug,Remdesivir
drug_protein,enzyme,gene/protein,CYP3A4,drug,Clascoterone
drug_protein,enzyme,drug,Omeprazole,gene/protein,CYP3A4
drug_protein,enzyme,gene/protein,CYP3A4,drug,Hydrocortisone
drug_protein,enzyme,drug,Sulfadiazine,gene/protein,CYP3A4
drug_protein,enzyme,gene/protein,CYP3A4,drug,Istradefylline
drug_protein,enzyme,drug,Sulfanilamide,gene/protein,CYP3A4
drug_protein,enzyme,gene/protein,CYP3A4,drug,Flucloxacillin
drug_protein,enzyme,drug,Dolutegravir,gene/protein,CYP3A4
drug_protein,enzyme,drug,Iloperidone,gene/protein,CYP3A4
drug_protein,enzyme,drug,Nicotine,gene/protein,CYP2E1
drug_protein,enzyme,drug,Sertraline,gene/protein,CYP3A4
drug_protein,enzyme,drug,Stiripentol,gene/protein,CYP3A4
drug_protein,enzyme,drug,Reboxetine,gene/protein,CYP3A4
drug_protein,enzyme,drug,Lemborexant,gene/protein,CYP3A4
drug_protein,enzyme,gene/protein,CYP3A4,drug,Eletriptan
drug_protein,enzyme,drug,Tacrolimus,gene/protein,CYP3A4
drug_protein,enzyme,gene/protein,CYP3A4,drug,Risperidone
drug_protein,enzyme,gene/protein,CYP3A4,drug,Digitoxin
drug_protein,enzyme,gene/protein,CYP3A4,drug,Olanzapine
drug_protein,enzyme,gene/protein,CYP3A4,drug,Zonisamide
drug_protein,enzyme,drug,Gestodene,gene/protein,CYP3A4
drug_protein,enzyme,gene/protein,CYP3A4,drug,Triclabendazole
anatomy_protein_absent,expression absent,gene/protein,ABCB1,anatomy,nasal cavity epithelium
anatomy_protein_absent,expression absent,gene/protein,TF,anatomy,metanephros
anatomy_protein_absent,expression absent,gene/protein,ALB,anatomy,quadriceps femoris
anatomy_protein_absent,expression absent,anatomy,myocardium,gene/protein,ALB
anatomy_protein_absent,expression absent,anatomy,quadriceps femoris,gene/protein,ALB
anatomy_protein_absent,expression absent,anatomy,metanephric glomerulus,gene/protein,TF
anatomy_protein_absent,expression absent,anatomy,nasal cavity epithelium,gene/protein,ABCB1
anatomy_protein_absent,expression absent,anatomy,metanephros,gene/protein,TF
anatomy_protein_absent,expression absent,gene/protein,TF,anatomy,decidua
anatomy_protein_absent,expression absent,anatomy,decidua,gene/protein,ALB
