PatentNumber,class,reactants>reagents>production
US08263610B2,,C1CCOC1.CCOCC.Cc1ccccc1.O=[CH:10][CH:9]1[C:7](=[O:8])[c:5]2[c:4]([n:3][c:2]([CH3:1])[s:6]2)[CH2:15][CH2:14]1.[NH:11]([CH3:12])[CH3:13]>>[CH3:1][c:2]1[n:3][c:4]2[c:5]([s:6]1)[C:7](=[O:8])/[C:9](=[CH:10]\[N:11]([CH3:12])[CH3:13])[CH2:14][CH2:15]2
US05378712,,CCN(CC)CC.CCOCC.CN(C)C=O.O=C1CCC(=O)N1O[C:2](=[O:1])[O:11][CH2:12][c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1.[NH2:3][C@H:4]1[CH:5]=[CH:6][C@@H:7]([OH:8])[CH2:9][CH2:10]1>>[O:1]=[C:2]([NH:3][CH:4]1[CH:5]=[CH:6][CH:7]([OH:8])[CH2:9][CH2:10]1)[O:11][CH2:12][c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1
US04136194,,Cc1c(CC(=O)Cl)[c:26]2[c:5](n1[C:11](=[O:12])[c:13]1[cH:14][cH:15][c:16](Cl)[cH:17][cH:18]1)[cH:4][cH:3][c:2](O[CH3:1])[cH:27]2.Cc1c(CC(=O)O)c2cc(O[CH3:23])ccc2n1C(=O)[c:19]1[cH:20][cH:21][c:22](Cl)[cH:24][cH:25]1.Cl.ClCCl.O=S(Cl)Cl.[nH:6]1[cH:7][cH:8][n:10][cH:9]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([N:6]=[CH:7]/[CH:8]=[CH:9]/[N:10]([C:11](=[O:12])[c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[c:19]2[cH:20][cH:21][c:22]([CH3:23])[cH:24][cH:25]2)[cH:26][cH:27]1
US07307073B2,,CN(C)C=O.F[c:3]1[cH:4][cH:5][c:6]2[c:7]([cH:8]1)[O:9][CH2:10][C@@H:11]1[CH2:12][CH2:13][CH2:14][N:15]1[C:16]2=[O:17].O.[CH3:1][O-:2].[Na+]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([cH:8]1)[O:9][CH2:10][C@@H:11]1[CH2:12][CH2:13][CH2:14][N:15]1[C:16]2=[O:17]
US05187156,,CC(C)(C)O[C:2](=[O:3])[NH:4][C@@H:5]([CH2:6][CH2:7][CH2:8][CH2:9][NH:10][C:11](=[O:12])[O:13][CH2:14][c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1)[C:21](=[O:22])[NH:23][C@H:24]([CH2:25][c:26]1[cH:27][n:28]([CH:29]=[O:30])[c:31]2[cH:32][cH:33][cH:34][cH:35][c:36]12)[C:37](=[O:38])[NH:39][C@@H:40]([CH2:41][c:42]1[cH:43][cH:44][cH:45][cH:46][cH:47]1)[C:48](=[O:49])[N:50]([CH3:51])[CH2:52][c:53]1[cH:54][cH:55][cH:56][cH:57][cH:58]1.Cl.Cl[CH2:1]Cl>>[CH3:1][C:2](=[O:3])[NH:4][C@@H:5]([CH2:6][CH2:7][CH2:8][CH2:9][NH:10][C:11](=[O:12])[O:13][CH2:14][c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1)[C:21](=[O:22])[NH:23][C@H:24]([CH2:25][c:26]1[cH:27][n:28]([CH:29]=[O:30])[c:31]2[cH:32][cH:33][cH:34][cH:35][c:36]12)[C:37](=[O:38])[NH:39][C@@H:40]([CH2:41][c:42]1[cH:43][cH:44][cH:45][cH:46][cH:47]1)[C:48](=[O:49])[N:50]([CH3:51])[CH2:52][c:53]1[cH:54][cH:55][cH:56][cH:57][cH:58]1
US07037935B2,,O=[N+:1]([O-])[c:2]1[cH:3][cH:4][c:5](/[CH:6]=[CH:7]/[c:8]2[cH:9][cH:10][c:11]([F:12])[cH:13][cH:14]2)[cH:15][cH:16]1.[Pd]>>[NH2:1][c:2]1[cH:3][cH:4][c:5]([CH2:6][CH2:7][c:8]2[cH:9][cH:10][c:11]([F:12])[cH:13][cH:14]2)[cH:15][cH:16]1
US08987461B2,,CN(C)[CH:7](OC(C)(C)C)[N:8]([CH3:9])[CH3:10].[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][CH2:11][CH3:12]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])/[C:6](=[CH:7]/[N:8]([CH3:9])[CH3:10])[CH2:11][CH3:12]
US04145531,,C(c1ccccc1)=[O:6].NN.O.O.O=c1ccn([C@H:5]2[C@H:4]([N:3]=[N+:2]=[N-:1])[C@H:7]([OH:8])[C@@H:9]([CH2:11][OH:12])[O:10]2)c(=O)[nH]1>>[N-:1]=[N+:2]=[N:3][C@@H:4]([CH:5]=[O:6])[C@H:7]([OH:8])[C@H:9]([OH:10])[CH2:11][OH:12]
US06013764,,CC(C)N=C=NC(C)C.CN(C)C=O.CN1CCOCC1.Cl.O.O[C:38](=[O:39])[C@H:40]([CH2:41][CH:42]([CH3:43])[CH3:44])[NH:45][C:46](=[O:47])[C@H:48]([CH2:49][CH:50]([CH3:51])[CH3:52])[NH:53][C:54](=[O:55])[O:56][C:57]([CH3:58])([CH3:59])[CH3:60].On1nnc2ccccc21.[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][CH:7]([CH3:8])[CH3:9])[NH:10][C:11](=[O:12])[C@H:13]([CH2:14][CH:15]([CH3:16])[CH3:17])[NH:18][C:19](=[O:20])[C@H:21]([CH2:22][CH2:23][CH2:24][CH2:25][NH:26][C:27](=[O:28])[O:29][CH2:30][c:31]1[cH:32][cH:33][cH:34][cH:35][cH:36]1)[NH2:37]>>[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][CH:7]([CH3:8])[CH3:9])[NH:10][C:11](=[O:12])[C@H:13]([CH2:14][CH:15]([CH3:16])[CH3:17])[NH:18][C:19](=[O:20])[C@H:21]([CH2:22][CH2:23][CH2:24][CH2:25][NH:26][C:27](=[O:28])[O:29][CH2:30][c:31]1[cH:32][cH:33][cH:34][cH:35][cH:36]1)[NH:37][C:38](=[O:39])[C@H:40]([CH2:41][CH:42]([CH3:43])[CH3:44])[NH:45][C:46](=[O:47])[C@H:48]([CH2:49][CH:50]([CH3:51])[CH3:52])[NH:53][C:54](=[O:55])[O:56][C:57]([CH3:58])([CH3:59])[CH3:60]
US08076285B2,,C1COCCO1.CC(C)(C)OC(=O)O[C:6](=[O:7])[O:8][C:9]([CH3:10])([CH3:11])[CH3:12].CCN(CC)CC.O.[CH3:1][C@H:2]([OH:3])[C@H:4]([NH2:5])[C:13](=[O:14])[OH:15]>>[CH3:1][C@H:2]([OH:3])[C@H:4]([NH:5][C:6](=[O:7])[O:8][C:9]([CH3:10])([CH3:11])[CH3:12])[C:13](=[O:14])[OH:15]
